id,latitude,longitude,common_name,new_name
155290653,33.6617109735,-117.6422042137,Blue Dicks,Blue dick
153996682,37.0258945,-119.6755533333,Blue Dicks,Blue dick
153998447,34.079264911,-116.1408427554,Blue Dicks,Blue dick
155333160,37.9136722222,-122.4970638889,Blue Dicks,Blue dick
155420567,34.1459543224,-117.6957520728,Blue Dicks,Blue dick
155333184,32.9359466667,-117.172455,Blue Dicks,Blue dick
153843118,33.706695,-117.00995555,Blue Dicks,Blue dick
155333397,37.201275,-121.8670283333,Blue Dicks,Blue dick
153279486,32.9878355849,-117.1205261203,Blue Dicks,Blue dick
153282719,33.7474263327,-117.5833640993,Blue Dicks,Blue dick
153872989,37.7119383333,-122.4253616667,Blue Dicks,Blue dick
155413871,38.6306292471,-121.2758565602,Blue Dicks,Blue dick
153279236,37.73828385,-122.45284591,Blue Dicks,Blue dick
155286302,33.550955,-117.567375,Blue Dicks,Blue dick
153254846,33.9019188402,-117.9430208767,Blue Dicks,Blue dick
155346629,33.8372783333,-117.755675,Blue Dicks,Blue dick
155424879,33.5807933333,-117.7620583333,Blue Dicks,Blue dick
153866809,34.33046178,-118.44172488,Blue Dicks,Blue dick
155280376,33.651725,-117.4483416667,Blue Dicks,Blue dick
153847920,36.5601971944,-120.8317209167,Blue Dicks,Blue dick
153900245,36.4839875278,-121.1862568889,Blue Dicks,Blue dick
153900436,35.7831716667,-117.9441966667,Blue Dicks,Blue dick
155359528,34.4166449699,-119.5128536675,Blue Dicks,Blue dick
155429049,34.1587042756,-117.8292328119,Blue Dicks,Blue dick
153900446,34.2633384568,-117.4669944495,Blue Dicks,Blue dick
153865675,33.5521783333,-117.569245,Blue Dicks,Blue dick
155402539,39.2934583333,-121.1905133333,Blue Dicks,Blue dick
155279514,37.1923083333,-121.4959222222,Blue Dicks,Blue dick
153985050,40.6161539,-122.4487859,Blue Dicks,Blue dick
153280655,33.7495033333,-118.360275,Blue Dicks,Blue dick
155431744,33.7629616667,-116.554925,Blue Dicks,Blue dick
153289855,34.1050833333,-118.720695,Blue Dicks,Blue dick
154010594,32.8456133333,-117.142325,Blue Dicks,Blue dick
155433368,33.7628783333,-116.5543133333,Blue Dicks,Blue dick
155278715,33.981425,-116.6547783333,Blue Dicks,Blue dick
155362332,34.13889257,-118.28875747,Blue Dicks,Blue dick
155433657,33.7627416667,-116.5540166667,Blue Dicks,Blue dick
155363032,34.13983709,-118.28852529,Blue Dicks,Blue dick
